YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2013,6037221900,Census Tract 2219,Los Angeles,Los Angeles County,California,LosAngeles,737.0,99.0,1029.0,118.0,1585.0,201.0
2013,6037222001,Census Tract 2220.01,Los Angeles,Los Angeles County,California,LosAngeles,710.0,203.0,992.0,288.0,1401.0,468.0
2013,6037222002,Census Tract 2220.02,Los Angeles,Los Angeles County,California,LosAngeles,774.0,64.0,883.0,87.0,1286.0,179.0
2013,6037222100,Census Tract 2221,Los Angeles,Los Angeles County,California,LosAngeles,617.0,66.0,825.0,113.0,1031.0,97.0
2013,6037222200,Census Tract 2222,Los Angeles,Los Angeles County,California,LosAngeles,531.0,86.0,835.0,104.0,1078.0,104.0
2013,6037222500,Census Tract 2225,Los Angeles,Los Angeles County,California,LosAngeles,797.0,82.0,1007.0,88.0,1257.0,104.0
2013,6037222600,Census Tract 2226,Los Angeles,Los Angeles County,California,LosAngeles,651.0,92.0,925.0,75.0,1364.0,184.0
2013,6037222700,Census Tract 2227,Los Angeles,Los Angeles County,California,LosAngeles,1082.0,359.0,2001.0,,2001.0,
2013,6037224010,Census Tract 2240.10,Los Angeles,Los Angeles County,California,LosAngeles,346.0,153.0,553.0,47.0,741.0,79.0
2013,6037224020,Census Tract 2240.20,Los Angeles,Los Angeles County,California,LosAngeles,541.0,81.0,746.0,58.0,898.0,105.0
2013,6037224200,Census Tract 2242,Los Angeles,Los Angeles County,California,LosAngeles,543.0,37.0,696.0,139.0,899.0,77.0
2013,6037224310,Census Tract 2243.10,Los Angeles,Los Angeles County,California,LosAngeles,665.0,26.0,799.0,74.0,956.0,54.0
2013,6037224320,Census Tract 2243.20,Los Angeles,Los Angeles County,California,LosAngeles,490.0,79.0,664.0,62.0,891.0,75.0
2013,6037224410,Census Tract 2244.10,Los Angeles,Los Angeles County,California,LosAngeles,706.0,115.0,938.0,150.0,1313.0,126.0
2013,6037224420,Census Tract 2244.20,Los Angeles,Los Angeles County,California,LosAngeles,568.0,29.0,655.0,49.0,736.0,16.0
2013,6037224600,Census Tract 2246,Los Angeles,Los Angeles County,California,LosAngeles,613.0,42.0,736.0,104.0,1009.0,117.0
2013,6037224700,Census Tract 2247,Los Angeles,Los Angeles County,California,LosAngeles,944.0,30.0,1420.0,247.0,1886.0,106.0
2013,6037226001,Census Tract 2260.01,Los Angeles,Los Angeles County,California,LosAngeles,717.0,362.0,881.0,110.0,999.0,160.0
2013,6037226002,Census Tract 2260.02,Los Angeles,Los Angeles County,California,LosAngeles,349.0,153.0,583.0,97.0,1558.0,286.0
2013,6037226410,Census Tract 2264.10,Los Angeles,Los Angeles County,California,LosAngeles,569.0,51.0,739.0,60.0,988.0,144.0
2013,6037226420,Census Tract 2264.20,Los Angeles,Los Angeles County,California,LosAngeles,635.0,51.0,820.0,63.0,1189.0,235.0
2013,6037226700,Census Tract 2267,Los Angeles,Los Angeles County,California,LosAngeles,689.0,55.0,827.0,43.0,993.0,145.0
2013,6037227010,Census Tract 2270.10,Los Angeles,Los Angeles County,California,LosAngeles,739.0,66.0,932.0,78.0,1251.0,169.0
2013,6037227020,Census Tract 2270.20,Los Angeles,Los Angeles County,California,LosAngeles,652.0,78.0,781.0,160.0,1129.0,110.0
2013,6037228100,Census Tract 2281,Los Angeles,Los Angeles County,California,LosAngeles,704.0,108.0,846.0,69.0,1119.0,147.0
2013,6037228210,Census Tract 2282.10,Los Angeles,Los Angeles County,California,LosAngeles,644.0,121.0,858.0,71.0,1100.0,95.0
2013,6037228220,Census Tract 2282.20,Los Angeles,Los Angeles County,California,LosAngeles,582.0,125.0,794.0,129.0,1085.0,209.0
2013,6037228310,Census Tract 2283.10,Los Angeles,Los Angeles County,California,LosAngeles,712.0,50.0,863.0,43.0,1054.0,121.0
2013,6037228320,Census Tract 2283.20,Los Angeles,Los Angeles County,California,LosAngeles,752.0,144.0,922.0,108.0,1197.0,131.0
2013,6037228410,Census Tract 2284.10,Los Angeles,Los Angeles County,California,LosAngeles,773.0,30.0,911.0,93.0,1146.0,92.0
2013,6037228420,Census Tract 2284.20,Los Angeles,Los Angeles County,California,LosAngeles,626.0,24.0,753.0,88.0,1007.0,164.0
2013,6037228500,Census Tract 2285,Los Angeles,Los Angeles County,California,LosAngeles,703.0,69.0,834.0,53.0,1011.0,133.0
2013,6037228600,Census Tract 2286,Los Angeles,Los Angeles County,California,LosAngeles,734.0,65.0,877.0,48.0,1146.0,167.0
2013,6037228710,Census Tract 2287.10,Los Angeles,Los Angeles County,California,LosAngeles,678.0,33.0,949.0,82.0,1191.0,115.0
2013,6037228720,Census Tract 2287.20,Los Angeles,Los Angeles County,California,LosAngeles,798.0,64.0,972.0,53.0,1167.0,60.0
2013,6037228800,Census Tract 2288,Los Angeles,Los Angeles County,California,LosAngeles,476.0,75.0,718.0,92.0,985.0,200.0
2013,6037228900,Census Tract 2289,Los Angeles,Los Angeles County,California,LosAngeles,264.0,59.0,414.0,84.0,775.0,174.0
2013,6037229100,Census Tract 2291,Los Angeles,Los Angeles County,California,LosAngeles,693.0,99.0,962.0,121.0,1202.0,126.0
2013,6037229200,Census Tract 2292,Los Angeles,Los Angeles County,California,LosAngeles,559.0,275.0,757.0,66.0,881.0,60.0
2013,6037229300,Census Tract 2293,Los Angeles,Los Angeles County,California,LosAngeles,791.0,59.0,876.0,27.0,1055.0,154.0
2013,6037229410,Census Tract 2294.10,Los Angeles,Los Angeles County,California,LosAngeles,727.0,67.0,868.0,65.0,1154.0,290.0
2013,6037229420,Census Tract 2294.20,Los Angeles,Los Angeles County,California,LosAngeles,707.0,40.0,866.0,52.0,1148.0,124.0
2013,6037231100,Census Tract 2311,Los Angeles,Los Angeles County,California,LosAngeles,653.0,44.0,722.0,46.0,933.0,133.0
2013,6037231210,Census Tract 2312.10,Los Angeles,Los Angeles County,California,LosAngeles,584.0,66.0,832.0,36.0,1048.0,135.0
2013,6037231220,Census Tract 2312.20,Los Angeles,Los Angeles County,California,LosAngeles,511.0,96.0,746.0,109.0,1086.0,79.0
2013,6037231300,Census Tract 2313,Los Angeles,Los Angeles County,California,LosAngeles,672.0,106.0,875.0,76.0,1133.0,61.0
2013,6037231400,Census Tract 2314,Los Angeles,Los Angeles County,California,LosAngeles,690.0,200.0,906.0,61.0,1149.0,181.0
2013,6037231500,Census Tract 2315,Los Angeles,Los Angeles County,California,LosAngeles,586.0,157.0,841.0,167.0,1156.0,338.0
2013,6037231600,Census Tract 2316,Los Angeles,Los Angeles County,California,LosAngeles,649.0,70.0,822.0,57.0,1170.0,113.0
2013,6037231710,Census Tract 2317.10,Los Angeles,Los Angeles County,California,LosAngeles,663.0,50.0,850.0,34.0,994.0,115.0
2013,6037231720,Census Tract 2317.20,Los Angeles,Los Angeles County,California,LosAngeles,539.0,81.0,811.0,100.0,1068.0,104.0
2013,6037231800,Census Tract 2318,Los Angeles,Los Angeles County,California,LosAngeles,649.0,37.0,774.0,98.0,983.0,58.0
2013,6037231900,Census Tract 2319,Los Angeles,Los Angeles County,California,LosAngeles,678.0,53.0,799.0,66.0,1068.0,109.0
2013,6037232110,Census Tract 2321.10,Los Angeles,Los Angeles County,California,LosAngeles,659.0,35.0,761.0,85.0,1065.0,261.0
2013,6037232120,Census Tract 2321.20,Los Angeles,Los Angeles County,California,LosAngeles,675.0,46.0,842.0,65.0,1059.0,119.0
2013,6037232200,Census Tract 2322,Los Angeles,Los Angeles County,California,LosAngeles,612.0,150.0,795.0,180.0,1066.0,351.0
2013,6037232300,Census Tract 2323,Los Angeles,Los Angeles County,California,LosAngeles,687.0,178.0,875.0,170.0,1065.0,387.0
2013,6037232400,Census Tract 2324,Los Angeles,Los Angeles County,California,LosAngeles,640.0,107.0,888.0,110.0,1185.0,94.0
2013,6037232500,Census Tract 2325,Los Angeles,Los Angeles County,California,LosAngeles,578.0,172.0,832.0,65.0,1068.0,88.0
2013,6037232600,Census Tract 2326,Los Angeles,Los Angeles County,California,LosAngeles,597.0,82.0,837.0,92.0,1133.0,176.0
2013,6037232700,Census Tract 2327,Los Angeles,Los Angeles County,California,LosAngeles,661.0,69.0,855.0,76.0,1149.0,74.0
2013,6037232800,Census Tract 2328,Los Angeles,Los Angeles County,California,LosAngeles,628.0,116.0,850.0,56.0,1148.0,205.0
2013,6037234000,Census Tract 2340,Los Angeles,Los Angeles County,California,LosAngeles,565.0,212.0,965.0,154.0,1167.0,75.0
2013,6037234200,Census Tract 2342,Los Angeles,Los Angeles County,California,LosAngeles,570.0,107.0,849.0,218.0,1244.0,334.0
2013,6037234300,Census Tract 2343,Los Angeles,Los Angeles County,California,LosAngeles,756.0,143.0,999.0,111.0,1321.0,146.0
2013,6037234501,Census Tract 2345.01,Los Angeles,Los Angeles County,California,LosAngeles,725.0,189.0,1064.0,293.0,1642.0,283.0
2013,6037234502,Census Tract 2345.02,Los Angeles,Los Angeles County,California,LosAngeles,514.0,372.0,884.0,164.0,1134.0,118.0
2013,6037234600,Census Tract 2346,Los Angeles,Los Angeles County,California,LosAngeles,662.0,276.0,866.0,109.0,1513.0,426.0
2013,6037234700,Census Tract 2347,Los Angeles,Los Angeles County,California,LosAngeles,628.0,294.0,867.0,50.0,1063.0,103.0
2013,6037234800,Census Tract 2348,Los Angeles,Los Angeles County,California,LosAngeles,822.0,109.0,951.0,57.0,1261.0,398.0
2013,6037234901,Census Tract 2349.01,Los Angeles,Los Angeles County,California,LosAngeles,644.0,105.0,857.0,60.0,1037.0,104.0
2013,6037234902,Census Tract 2349.02,Los Angeles,Los Angeles County,California,LosAngeles,650.0,143.0,849.0,44.0,954.0,29.0
2013,6037235100,Census Tract 2351,Los Angeles,Los Angeles County,California,LosAngeles,906.0,137.0,1174.0,127.0,1763.0,651.0
2013,6037235201,Census Tract 2352.01,Los Angeles,Los Angeles County,California,LosAngeles,750.0,114.0,1029.0,227.0,1568.0,679.0
2013,6037235202,Census Tract 2352.02,Los Angeles,Los Angeles County,California,LosAngeles,539.0,138.0,882.0,89.0,1110.0,75.0
2013,6037236000,Census Tract 2360,Los Angeles,Los Angeles County,California,LosAngeles,1140.0,124.0,1321.0,79.0,1454.0,84.0
2013,6037236100,Census Tract 2361,Los Angeles,Los Angeles County,California,LosAngeles,410.0,170.0,827.0,50.0,979.0,53.0
2013,6037236202,Census Tract 2362.02,Los Angeles,Los Angeles County,California,LosAngeles,704.0,81.0,876.0,29.0,1020.0,65.0
2013,6037236203,Census Tract 2362.03,Los Angeles,Los Angeles County,California,LosAngeles,775.0,69.0,902.0,49.0,1070.0,86.0
2013,6037236204,Census Tract 2362.04,Los Angeles,Los Angeles County,California,LosAngeles,797.0,42.0,929.0,52.0,1100.0,46.0
